semantic_id	native_command	v5_2_03_handler	v5_2_03_delegate_owner	v5_2_03_delegate_name	v5_2_03_delegate_descriptor	v5_3_02_handler	v5_3_02_delegate_owner	v5_3_02_delegate_name	v5_3_02_delegate_descriptor	contract_status	production_status	reason
CHANGE_ALL_MESH_DRAW_ORDER	CMD_CHANGE_ALL_MESH_DRAW_ORDER	command_changeAllMeshDrawOrder	com.live2d.cubism.appCtrlImpl.ar	ba	(Lcom/live2d/cubism/CEAppCtrl;)V	command_changeAllMeshDrawOrder	com.live2d.cubism.appCtrlImpl.ar	be	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
CHANGE_MESH_DRAW_ORDER	CMD_CHANGE_MESH_DRAW_ORDER	command_changeMeshDrawOrder	com.live2d.cubism.appCtrlImpl.ar	bb	(Lcom/live2d/cubism/CEAppCtrl;)V	command_changeMeshDrawOrder	com.live2d.cubism.appCtrlImpl.ar	bf	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
COLLECTION	CMD_COLLECTION	command_collection	com.live2d.cubism.appCtrlImpl.O	e	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_collection	com.live2d.cubism.appCtrlImpl.O	e	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
CONVERT_ID_MODEL	CMD_CONVERT_ID_MODEL	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
CREATE_ROTATION_DEFORMER	CMD_CREATE_ROTATION_DEFORMER	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
CREATE_SCENE_FROM_SOUNDS	CMD_CREATE_SCENE_FROM_SOUNDS	command_createSceneFromSounds	com.live2d.cubism.appCtrlImpl.a	b	(Lcom/live2d/cubism/CEAppCtrl;)V	command_createSceneFromSounds	com.live2d.cubism.appCtrlImpl.a	b	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
CREATE_WARP_DEFORMER	CMD_CREATE_WARP_DEFORMER	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
CREATE_YURE	CMD_CREATE_YURE	command_autoCreateYure	com.live2d.cubism.appCtrlImpl.ar	j	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoCreateYure	com.live2d.cubism.appCtrlImpl.ar	k	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
DISPLAY_MULTI_PASTE_SHAPE_DIALOG	CMD_DISPLAY_MULTI_PASTE_SHAPE_DIALOG	command_displayMultiPasteShapeDialog	com.live2d.cubism.appCtrlImpl.ar	b	()V	command_displayMultiPasteShapeDialog	com.live2d.cubism.appCtrlImpl.ar	b	()V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EDIT_EXTENSION_INTERPOLATION	CMD_EDIT_EXTENSION_INTERPOLATION	command_editExtensionInterpolation	com.live2d.cubism.appCtrlImpl.ar	aC	(Lcom/live2d/cubism/CEAppCtrl;)V	command_editExtensionInterpolation	com.live2d.cubism.appCtrlImpl.ar	aF	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EDIT_MULTIKEY	CMD_EDIT_MULTIKEY	command_editMultiKey	com.live2d.cubism.appCtrlImpl.ar	az	(Lcom/live2d/cubism/CEAppCtrl;)V	command_editMultiKey	com.live2d.cubism.appCtrlImpl.ar	aC	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EDIT_MULTIKEY_FOR_ARTPATH	CMD_EDIT_MULTIKEY_FOR_ARTPATH	command_editMultiKey_forArtPath	com.live2d.cubism.appCtrlImpl.ar	aA	(Lcom/live2d/cubism/CEAppCtrl;)V	command_editMultiKey_forArtPath	com.live2d.cubism.appCtrlImpl.ar	aD	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EDIT_REVERSE_ALL_KEYS	CMD_EDIT_REVERSE_ALL_KEYS	command_editReverseAllKeys	com.live2d.cubism.appCtrlImpl.ar	aB	(Lcom/live2d/cubism/CEAppCtrl;)V	command_editReverseAllKeys	com.live2d.cubism.appCtrlImpl.ar	aE	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EXPORT_MODEL_AS_PNG	CMD_EXPORT_MODEL_AS_PNG	command_exportModelAsPng	com.live2d.cubism.appCtrlImpl.O	d	(Lcom/live2d/cubism/CEAppCtrl;)V	command_exportModelAsPng	com.live2d.cubism.appCtrlImpl.O	d	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EXPORT_MODEL_AS_PSD	CMD_EXPORT_MODEL_AS_PSD	command_exportModelAsPsd	com.live2d.cubism.appCtrlImpl.O	e	(Lcom/live2d/cubism/CEAppCtrl;)V	command_exportModelAsPsd	com.live2d.cubism.appCtrlImpl.O	e	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EXPORT_SCENE_AS_ANIMATED_GIF	CMD_EXPORT_SCENE_AS_ANIMATED_GIF	command_outputAnimatedGif	com.live2d.cubism.appCtrlImpl.a	B	(Lcom/live2d/cubism/CEAppCtrl;)V	command_outputAnimatedGif	com.live2d.cubism.appCtrlImpl.a	D	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EXPORT_SCENE_AS_PNG	CMD_EXPORT_SCENE_AS_PNG	command_outputPngImage	com.live2d.cubism.appCtrlImpl.a	z	(Lcom/live2d/cubism/CEAppCtrl;)V	command_outputPngImage	com.live2d.cubism.appCtrlImpl.a	B	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EXPORT_SCENE_AS_VIDEO	CMD_EXPORT_SCENE_AS_VIDEO	command_exportVideo	com.live2d.cubism.appCtrlImpl.a	A	(Lcom/live2d/cubism/CEAppCtrl;)V	command_exportVideo	com.live2d.cubism.appCtrlImpl.a	C	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
EXTERNAL_APP_SETTING	CMD_EXTERNAL_APP_SETTING	command_externalAppSetting	com.live2d.cubism.appCtrlImpl.bg	g	(Lcom/live2d/cubism/CEAppCtrl;)V	command_externalAppSetting	com.live2d.cubism.appCtrlImpl.bk	g	(Lcom/live2d/cubism/CEAppCtrl;)V	TYPED_CONTRACT_VERIFIED	ENABLED_5.2.03_5.3.02	5.2.03 and 5.3.02 dialogs expose port (default 22033) and allow-remote boolean (default false); typed host write GREEN on both exact versions: port/remote applied, server start verified, persistence across restart verified, restore verified; connected state fails the request closed.
FADE_SETTING	CMD_FADE_SETTING	UNSUPPORTED				command_fadeSetting	com.live2d.cubism.appCtrlImpl.a	s	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
FIND_OBJECT_DIALOG	CMD_FIND_OBJECT_DIALOG	command_findObjectDialog	com.live2d.cubism.appCtrlImpl.ar	aJ	(Lcom/live2d/cubism/CEAppCtrl;)V	command_findObjectDialog	com.live2d.cubism.appCtrlImpl.ar	aN	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
GENERATE_MESH_IN_MESH_EDITOR_MODE	CMD_GENERATE_MESH_IN_MESH_EDITOR_MODE	command_autoMesh_inMeshEditorMode	com.live2d.cubism.appCtrlImpl.ar	r	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoMesh_inMeshEditorMode	com.live2d.cubism.appCtrlImpl.ar	s	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
GENERATE_MESH_IN_MODELING_MODE	CMD_GENERATE_MESH_IN_MODELING_MODE	command_autoMesh	com.live2d.cubism.appCtrlImpl.ar	q	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_autoMesh	com.live2d.cubism.appCtrlImpl.ar	r	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
GRID_SETTING	CMD_GRID_SETTING	UNRESOLVED				UNRESOLVED				TYPED_CONTRACT_VERIFIED	ENABLED_5.2.03_5.3.02	5.2.03 and 5.3.02 dialogs expose spacing (default 50; slider [5, min(w,h)]) and color (default #808080, opaque RGB); typed host write GREEN on both exact versions: spacing/color applied, canvas reset+repaint verified, persistence across restart verified via UUConfig .ser store; alpha must be 1.
INVERSION_OF_MOVEMENT	CMD_INVERSION_OF_MOVEMENT	command_selectOptimizeTarget	com.live2d.cubism.appCtrlImpl.ar	U	(Lcom/live2d/cubism/CEAppCtrl;)V	command_selectOptimizeTarget	com.live2d.cubism.appCtrlImpl.ar	X	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
KEYBOARD_SHORTCUT_SETTING	CMD_KEYBOARD_SHORTCUT_SETTING	command_keyboardShortcutSetting	com.live2d.cubism.appCtrlImpl.bg	c	(Lcom/live2d/cubism/CEAppCtrl;)V	command_keyboardShortcutSetting	com.live2d.cubism.appCtrlImpl.bk	c	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
LIPSYNC	CMD_LIPSYNC	command_lipsync	com.live2d.cubism.appCtrlImpl.a	a	()V	command_lipsync	com.live2d.cubism.appCtrlImpl.a	a	()V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
MODELING_REFLECTION	CMD_MODELING_REFLECTION	command_modelingReflection	com.live2d.cubism.appCtrlImpl.ar	a	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;Lcom/live2d/cubism/appCtrlImpl/ar$a;)V	command_modelingReflection	com.live2d.cubism.appCtrlImpl.ar	a	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;Lcom/live2d/cubism/appCtrlImpl/ar$a;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
MODELING_STATISTICS	CMD_MODELING_STATISTICS	command_modelingStatistics	com.live2d.cubism.appCtrlImpl.ar	aF	(Lcom/live2d/cubism/CEAppCtrl;)V	command_modelingStatistics	com.live2d.cubism.appCtrlImpl.ar	aI	(Lcom/live2d/cubism/CEAppCtrl;)V	TYPED_CONTRACT_VERIFIED	UNAVAILABLE	5.2.03 and 5.3.02 palettes expose one observed auto-update boolean (default true); production selector, palette ownership and refresh behavior remain unavailable; blocker: statistics singleton appCtrlImpl.ar.e is private with no public accessor; the typed op cannot apply the toggle to the live statistics object without private reflection.
MODEL_SETTING	CMD_MODEL_SETTING	command_modelSetting	com.live2d.cubism.appCtrlImpl.ar	aY	(Lcom/live2d/cubism/CEAppCtrl;)V	command_modelSetting	com.live2d.cubism.appCtrlImpl.ar	bc	(Lcom/live2d/cubism/CEAppCtrl;)V	TYPED_CONTRACT_VERIFIED	ENABLED_5.2.03_5.3.02	5.2.03 and 5.3.02 canvas dialogs expose width/height (fixture 1000x1000; host bounds 16..30000); typed authoring write GREEN on both exact versions (host evidence top-menu-host-review-fix-20260803T151121Z-830db55e): canvas size + center-anchor origin round-trip through native Undo/Redo/restoration; no-op same-size short-circuits without Undo/dirty.
NEW_ANIMATION	CMD_NEW_ANIMATION	command_newAnimation	com.live2d.cubism.appCtrlImpl.a	a	(Lcom/live2d/cubism/CEAppCtrl;)V	command_newAnimation	com.live2d.cubism.appCtrlImpl.a	a	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_LINE_INFO_PICK_DIALOG	CMD_OPEN_LINE_INFO_PICK_DIALOG	command_openLineInfoPickDialog	com.live2d.cubism.appCtrlImpl.ar	aN	(Lcom/live2d/cubism/CEAppCtrl;)V	command_openLineInfoPickDialog	com.live2d.cubism.appCtrlImpl.ar	aR	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_MOTIONPATH_SETTING	CMD_OPEN_MOTIONPATH_SETTING	command_openMotionPathSetting	com.live2d.cubism.appCtrlImpl.bi	A	(Lcom/live2d/cubism/CEAppCtrl;)V	command_openMotionPathSetting	com.live2d.cubism.appCtrlImpl.bm	z	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_ONIONSKIN_SETTING	CMD_OPEN_ONIONSKIN_SETTING	command_openOnionskinSetting	com.live2d.cubism.appCtrlImpl.bi	b	(Lcom/live2d/cubism/CEAppCtrl;)V	command_openOnionskinSetting	com.live2d.cubism.appCtrlImpl.bm	b	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_PARAMETER_BOOKMARK_SETTING	CMD_OPEN_PARAMETER_BOOKMARK_SETTING	command_openParameterBookmarkSetting	com.live2d.cubism.appCtrlImpl.bg	a	()V	command_openParameterBookmarkSetting	com.live2d.cubism.appCtrlImpl.bk	a	()V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_PARAMETER_GROUP_SETTING	CMD_OPEN_PARAMETER_GROUP_SETTING	command_openParameterGroupSetting	com.live2d.cubism.appCtrlImpl.ar	Y	(Lcom/live2d/cubism/CEAppCtrl;)V	command_openParameterGroupSetting	com.live2d.cubism.appCtrlImpl.ar	ab	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_PARAMETER_SETTING	CMD_OPEN_PARAMETER_SETTING	command_openParameterSetting	com.live2d.cubism.appCtrlImpl.ar	X	(Lcom/live2d/cubism/CEAppCtrl;)V	command_openParameterSetting	com.live2d.cubism.appCtrlImpl.ar	aa	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
OPEN_PASTE_BLEND_SETTING_DIALOG	CMD_OPEN_PASTE_BLEND_SETTING_DIALOG	command_openPasteBlendSettingDialog	com.live2d.cubism.appCtrlImpl.ar	a	(Lcom/live2d/cubism/pack/CECompletePack;)V	command_openPasteBlendSettingDialog	com.live2d.cubism.appCtrlImpl.ar	a	(Lcom/live2d/cubism/pack/CECompletePack;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
PARAM_CONTROLLER_DISPLAY_SETTING_DIALOG	CMD_PARAM_CONTROLLER_DISPLAY_SETTING_DIALOG	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
PARAM_CTRL_CALC_ORDER_SETTING_DIALOG	CMD_PARAM_CTRL_CALC_ORDER_SETTING_DIALOG	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
REFLECT_FADE	CMD_REFLECT_FADE	UNSUPPORTED				command_reflectFade	com.live2d.cubism.appCtrlImpl.a	t	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
RESIZE_ARTMESH_WITH_SCALE	CMD_RESIZE_ARTMESH_WITH_SCALE	command_resizeArtMeshWithScale	com.live2d.cubism.appCtrlImpl.ar	d	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_resizeArtMeshWithScale	com.live2d.cubism.appCtrlImpl.ar	e	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
RESIZE_MODEL_DOCUMENT	CMD_RESIZE_MODEL_DOCUMENT	command_resizeModelDocument	com.live2d.cubism.appCtrlImpl.ar	aG	(Lcom/live2d/cubism/CEAppCtrl;)V	command_resizeModelDocument	com.live2d.cubism.appCtrlImpl.ar	aJ	(Lcom/live2d/cubism/CEAppCtrl;)V	TYPED_CONTRACT_VERIFIED	ENABLED_5.2.03_5.3.02	5.2.03 and 5.3.02 dialogs expose a percentage field (default 100; host input bounds 1..5000); typed host write GREEN on both exact versions: rotation-deformer keyform scales round-trip through Undo/Redo/restoration; 100% short-circuits without the deformer wrapper.
SETTING_GUIDES_MODELING_SETTING	CMD_SETTING_GUIDES_MODELING_SETTING	command_setGuidesModeling	com.live2d.cubism.appCtrlImpl.ar	aH	(Lcom/live2d/cubism/CEAppCtrl;)V	command_setGuidesModeling	com.live2d.cubism.appCtrlImpl.ar	aK	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_ANIMATION_PREVIEW_SETTING_DIALOG	CMD_SHOW_ANIMATION_PREVIEW_SETTING_DIALOG	command_showAnimationPreviewSettingDialog	com.live2d.cubism.appCtrlImpl.ad	b	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showAnimationPreviewSettingDialog	com.live2d.cubism.appCtrlImpl.ad	b	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_CONFIG_DIALOG	CMD_SHOW_CONFIG_DIALOG	command_showConfigDialog	com.live2d.cubism.appCtrlImpl.bg	e	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showConfigDialog	com.live2d.cubism.appCtrlImpl.bk	e	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_EFFECT_SETTING_DIALOG	CMD_SHOW_EFFECT_SETTING_DIALOG	command_showEffectSettingDialog	com.live2d.cubism.appCtrlImpl.ar	G	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showEffectSettingDialog	com.live2d.cubism.appCtrlImpl.ar	I	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_LABEL_COPY_DIALOG	CMD_SHOW_LABEL_COPY_DIALOG	UNSUPPORTED				command_showCopyLabelDialog	com.live2d.cubism.appCtrlImpl.a	J	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_MORPH_TARGET_CONSTRAINT_EDIT_DIALOG	CMD_SHOW_MORPH_TARGET_CONSTRAINT_EDIT_DIALOG	command_showMorphTargetConstraintEditDialog	com.live2d.cubism.appCtrlImpl.ar	z	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showMorphTargetConstraintEditDialog	com.live2d.cubism.appCtrlImpl.ar	B	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_MOTION_SYNC_SETTING_DAILOG	CMD_SHOW_MOTION_SYNC_SETTING_DAILOG	command_showMotionSyncSettingDialog	com.live2d.cubism.appCtrlImpl.ar	F	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showMotionSyncSettingDialog	com.live2d.cubism.appCtrlImpl.ar	H	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_ROTATE3D_SETTING_DIALOG	CMD_SHOW_ROTATE3D_SETTING_DIALOG	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_SHOW_LABEL_COPY_DIALOG	CMD_SHOW_SHOW_LABEL_COPY_DIALOG	command_showCopyLabelDialog	com.live2d.cubism.appCtrlImpl.a	H	(Lcom/live2d/cubism/CEAppCtrl;)V	UNSUPPORTED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
SHOW_VIEWER	CMD_SHOW_VIEWER	command_showViewer	com.live2d.cubism.appCtrlImpl.ar	au	(Lcom/live2d/cubism/CEAppCtrl;)V	command_showViewer	com.live2d.cubism.appCtrlImpl.ar	ax	(Lcom/live2d/cubism/CEAppCtrl;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
TEXTURE_ATLAS	CMD_TEXTURE_ATLAS	command_showTextureAtlasEditor	com.live2d.cubism.appCtrlImpl.ar	o	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	command_showTextureAtlasEditor	com.live2d.cubism.appCtrlImpl.ar	p	(Lcom/live2d/cubism/CEAppCtrl;Lcom/live2d/cubism/doc/IDocument;)V	EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
VALIDATE_DEFORMER_DIALOG	CMD_VALIDATE_DEFORMER_DIALOG	UNRESOLVED				UNRESOLVED				EVIDENCE_REQUIRED	UNAVAILABLE	static dispatch is not typed parameter or real-host behavior evidence
